age,marital,dwelling,edu,foodins,weight,female,immigr,rural,children,household,joblose,finimpact,pfg,anx2,nmissingvars,finimp3,fooddich,_est_est1,_est_est2,_est_est3,_est_est4
7,1,1,6,0,641.6703,0,0,1,0,2,0,1,0,0,0,1,0,1,1,1,1
6,1,1,6,0,2480.643,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
6,1,1,5,0,1395.275,0,0,0,0,2,9,2,0,0,0,2,0,1,1,1,1
5,2,3,6,0,727.6621,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
4,1,1,4,0,2755.051,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
6,1,1,3,0,2628.494,0,0,0,0,2,9,5,0,0,0,3,0,1,1,1,1
6,1,1,2,0,4732.33,0,1,0,0,2,9,1,0,0,1,1,0,1,1,1,1
5,1,1,3,0,3416.445,0,1,1,0,2,9,1,0,0,0,1,0,1,1,1,1
3,1,3,6,0,13754.65,0,1,0,0,2,0,1,0,0,0,1,0,1,1,1,1
5,1,1,3,0,9651.281,0,0,0,0,2,9,1,1,0,0,1,0,1,1,1,1
1,3,1,6,1,45058.19,0,0,0,0,4,0,3,1,0,0,2,1,1,1,1,1
6,1,1,4,0,1767.68,0,0,1,0,2,9,1,1,0,0,1,0,1,1,1,1
4,1,1,3,1,2971.717,0,0,0,0,3,0,2,0,0,0,2,1,1,1,1,1
6,1,1,7,0,1367.882,0,0,0,0,2,1,1,0,0,0,1,0,1,1,1,1
2,3,3,7,0,10428.45,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1
3,3,1,7,0,279.2082,0,0,0,0,1,0,5,0,0,0,3,0,1,1,1,1
2,2,3,7,1,5977.438,0,1,0,0,1,1,4,0,0,0,2,1,1,1,1,1
3,3,2,7,0,823.9699,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
5,1,1,3,0,2398.894,0,0,0,0,3,9,1,0,0,0,1,0,1,1,1,1
5,1,1,4,2,56170.52,0,0,0,0,3,0,4,0,1,0,2,1,1,1,1,1
6,1,1,6,0,11300.48,0,0,1,0,2,9,1,1,0,0,1,0,1,1,1,1
5,1,1,5,0,2534.345,0,0,0,0,3,9,5,0,0,0,3,0,1,1,1,1
6,1,4,1,0,15963.82,0,0,0,0,3,9,1,0,0,0,1,0,1,1,1,1
4,1,1,6,0,898.6392,0,0,1,0,2,0,2,1,0,0,2,0,1,1,1,1
4,3,1,7,0,877.5374,0,1,0,0,1,0,5,0,0,0,3,0,1,1,1,1
5,2,1,1,2,1820.827,0,0,0,0,1,9,4,1,1,1,2,1,1,1,1,1
6,1,1,4,0,3645.159,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
7,1,1,1,0,1351.287,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
5,3,3,4,0,10477.48,0,0,0,0,1,9,2,1,0,0,2,0,1,1,1,1
6,1,1,7,0,1521.163,0,1,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,1,7,0,1243.261,0,0,1,0,2,0,2,1,0,0,2,0,1,1,1,1
5,2,2,2,0,2685.285,0,0,0,0,1,0,3,1,1,0,2,0,1,1,1,1
2,3,2,2,0,15741.81,0,0,0,0,1,0,2,1,0,0,2,0,1,1,1,1
4,1,1,3,0,3839.375,0,0,0,0,4,9,1,0,0,0,1,0,1,1,1,1
4,1,2,2,0,23271.35,0,0,0,0,2,0,3,0,0,0,2,0,1,1,1,1
5,1,4,6,0,2051.323,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
6,1,4,3,0,2564.19,0,0,1,0,2,9,2,0,0,0,2,0,1,1,1,1
5,3,1,3,0,11618.93,0,0,1,0,1,9,2,1,0,0,2,0,1,1,1,1
3,1,1,4,0,27175.34,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
3,1,1,4,0,5490.049,0,1,0,0,2,0,2,0,0,0,2,0,1,1,1,1
4,1,1,6,0,4031.664,0,0,0,0,3,0,2,0,0,0,2,0,1,1,1,1
4,1,4,3,0,50787.9,0,0,1,0,3,0,1,0,0,0,1,0,1,1,1,1
2,1,1,6,2,25302.33,0,1,0,0,2,1,3,1,0,0,2,1,1,1,1,1
7,3,1,2,0,1378.99,0,0,1,0,2,9,2,1,1,0,2,0,1,1,1,1
5,3,4,4,0,14561.43,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
4,2,4,4,0,8282.569,0,1,1,0,2,0,3,0,0,0,2,0,1,1,1,1
3,3,1,4,0,43472.29,0,0,0,0,3,0,1,1,0,0,1,0,1,1,1,1
7,1,1,6,0,4278.063,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
5,3,1,6,0,21662.12,0,0,0,0,3,0,1,1,1,0,1,0,1,1,1,1
4,3,1,7,0,364.337,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
5,3,1,4,0,1036.023,0,0,0,0,1,9,1,0,0,0,1,0,1,1,1,1
7,1,1,3,0,1155,0,0,1,0,2,9,2,0,0,0,2,0,1,1,1,1
6,2,4,6,0,363.092,0,1,0,0,1,9,5,0,0,0,3,0,1,1,1,1
2,3,1,6,0,3289.744,0,0,0,0,3,0,1,1,0,0,1,0,1,1,1,1
4,1,1,4,2,11389.54,0,0,0,0,4,0,2,1,1,0,2,1,1,1,1,1
5,1,4,2,0,7106.973,0,1,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,1,4,0,14828.16,0,1,0,0,2,9,3,1,0,0,2,0,1,1,1,1
2,3,3,6,0,5150.289,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
3,1,4,6,0,13754.65,0,0,0,0,2,1,1,0,0,0,1,0,1,1,1,1
4,1,4,6,0,7007.2,0,1,0,0,2,0,4,1,1,0,2,0,1,1,1,1
6,1,1,6,0,2776.077,0,1,1,0,2,9,1,0,0,0,1,0,1,1,1,1
5,1,1,1,0,2674.342,0,0,1,0,2,0,2,1,0,0,2,0,1,1,1,1
5,1,1,2,0,5943.647,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
5,3,3,4,0,11826.08,0,0,0,0,1,0,3,1,0,0,2,0,1,1,1,1
6,1,1,6,0,1911.178,0,0,0,0,2,9,3,0,0,1,2,0,1,1,1,1
5,3,1,3,0,618.592,0,0,1,0,1,1,2,1,0,0,2,0,1,1,1,1
4,3,2,2,0,2807.685,0,0,0,0,1,0,2,1,0,0,2,0,1,1,1,1
4,1,1,2,0,5487.625,0,0,0,0,4,0,1,0,0,0,1,0,1,1,1,1
6,3,4,2,0,819.9997,0,0,0,0,1,9,1,0,0,0,1,0,1,1,1,1
3,3,1,7,0,743.4469,0,0,1,0,1,0,5,1,0,0,3,0,1,1,1,1
4,1,4,7,0,3399.298,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
4,1,1,4,0,23862.08,0,0,0,0,3,9,1,1,0,0,1,0,1,1,1,1
5,3,1,3,0,5249.128,0,0,0,0,1,9,3,1,1,0,2,0,1,1,1,1
4,2,1,6,0,2156.397,0,0,0,0,2,1,2,1,1,0,2,0,1,1,1,1
7,1,3,3,0,18508.45,0,0,0,0,2,9,1,1,0,1,1,0,1,1,1,1
4,3,1,2,1,806.8986,0,0,1,0,1,9,3,0,0,0,2,1,1,1,1,1
6,1,1,2,0,1396.148,0,0,1,0,2,9,5,0,0,0,3,0,1,1,1,1
2,3,4,2,0,14798.24,0,0,0,0,1,1,3,1,0,0,2,0,1,1,1,1
4,2,1,4,0,8756.729,0,0,0,0,3,0,1,1,1,0,1,0,1,1,1,1
6,3,1,6,0,865.0944,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
3,3,3,6,0,19407.52,0,1,0,0,2,0,1,0,0,0,1,0,1,1,1,1
4,2,3,4,0,971.3138,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1
6,1,1,4,0,2400.958,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
2,3,2,4,0,19230.5,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
2,3,2,4,0,4805.037,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
4,3,1,4,0,1234.094,0,1,0,0,1,1,5,0,0,0,3,0,1,1,1,1
4,1,1,2,0,6053.074,0,0,1,0,2,0,1,0,0,0,1,0,1,1,1,1
4,1,4,3,0,6163.722,0,0,0,0,2,0,3,0,0,0,2,0,1,1,1,1
5,1,1,6,0,2153.704,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
4,1,1,4,0,3140.758,0,0,0,0,4,0,2,1,0,0,2,0,1,1,1,1
5,1,1,2,0,1567.264,0,0,0,0,2,9,3,1,1,0,2,0,1,1,1,1
1,3,1,3,0,2780.695,0,0,1,0,1,0,3,1,1,0,2,0,1,1,1,1
2,3,1,7,0,1408.782,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
3,3,2,7,1,637.9431,0,0,0,0,1,0,5,0,0,0,3,1,1,1,1,1
4,1,1,2,0,19586.1,0,0,0,0,2,9,2,0,0,0,2,0,1,1,1,1
6,1,1,2,0,4620.014,0,1,0,0,2,9,1,0,0,0,1,0,1,1,1,1
4,1,1,4,0,3094.855,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
3,1,2,6,0,2726.576,0,1,0,0,2,9,2,0,0,0,2,0,1,1,1,1
5,1,1,3,0,1185.781,0,0,1,0,2,9,1,1,0,0,1,0,1,1,1,1
5,3,2,4,0,2216.318,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
6,1,1,2,0,6953.288,0,0,0,0,2,9,3,0,0,0,2,0,1,1,1,1
4,1,1,6,0,2809.883,0,1,0,0,3,0,2,1,0,0,2,0,1,1,1,1
6,1,1,4,0,3186.961,0,0,0,0,3,0,1,0,0,0,1,0,1,1,1,1
7,1,1,1,0,8183.19,0,1,0,0,2,9,5,1,0,0,3,0,1,1,1,1
4,3,2,6,0,6571.595,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
